UnMatched    PREDICTION : 20    ACTUAL : 37 ,  Probabilty Percentage : 67.0848%
UnMatched    PREDICTION : 20    ACTUAL : 37 ,  Probabilty Percentage : 67.1432%
UnMatched    PREDICTION : 20    ACTUAL : 37 ,  Probabilty Percentage : 93.5136%
Matched      PREDICTION : 37    ACTUAL : 37 ,  Probabilty Percentage : 65.7346%
UnMatched    PREDICTION : 20    ACTUAL : 37 ,  Probabilty Percentage : 66.8707%
Matched      PREDICTION : 37    ACTUAL : 37 ,  Probabilty Percentage : 98.8535%
UnMatched    PREDICTION : 20    ACTUAL : 37 ,  Probabilty Percentage : 88.5924%
Matched      PREDICTION : 37    ACTUAL : 37 ,  Probabilty Percentage : 98.2643%
Matched      PREDICTION : 37    ACTUAL : 37 ,  Probabilty Percentage : 72.3091%
Matched      PREDICTION : 37    ACTUAL : 37 ,  Probabilty Percentage : 92.7076%
Matched      PREDICTION : 36    ACTUAL : 36 ,  Probabilty Percentage : 99.9999%
Matched      PREDICTION : 36    ACTUAL : 36 ,  Probabilty Percentage : 99.9999%
Matched      PREDICTION : 36    ACTUAL : 36 ,  Probabilty Percentage : 100%
Matched      PREDICTION : 36    ACTUAL : 36 ,  Probabilty Percentage : 100%
Matched      PREDICTION : 36    ACTUAL : 36 ,  Probabilty Percentage : 100%
Matched      PREDICTION : 36    ACTUAL : 36 ,  Probabilty Percentage : 100%
Matched      PREDICTION : 36    ACTUAL : 36 ,  Probabilty Percentage : 100%
Matched      PREDICTION : 36    ACTUAL : 36 ,  Probabilty Percentage : 100%
Matched      PREDICTION : 36    ACTUAL : 36 ,  Probabilty Percentage : 100%
Matched      PREDICTION : 36    ACTUAL : 36 ,  Probabilty Percentage : 100%
Matched      PREDICTION : 38    ACTUAL : 38 ,  Probabilty Percentage : 99.9957%
Matched      PREDICTION : 38    ACTUAL : 38 ,  Probabilty Percentage : 99.9992%
Matched      PREDICTION : 38    ACTUAL : 38 ,  Probabilty Percentage : 99.9764%
Matched      PREDICTION : 38    ACTUAL : 38 ,  Probabilty Percentage : 99.9795%
Matched      PREDICTION : 38    ACTUAL : 38 ,  Probabilty Percentage : 99.9914%
Matched      PREDICTION : 38    ACTUAL : 38 ,  Probabilty Percentage : 99.9999%
Matched      PREDICTION : 38    ACTUAL : 38 ,  Probabilty Percentage : 99.9996%
Matched      PREDICTION : 38    ACTUAL : 38 ,  Probabilty Percentage : 99.9455%
Matched      PREDICTION : 38    ACTUAL : 38 ,  Probabilty Percentage : 99.9997%
UnMatched    PREDICTION : 19    ACTUAL : 35 ,  Probabilty Percentage : 70.5827%
UnMatched    PREDICTION : 19    ACTUAL : 35 ,  Probabilty Percentage : 74.465%
UnMatched    PREDICTION : 20    ACTUAL : 35 ,  Probabilty Percentage : 80.5192%
UnMatched    PREDICTION : 20    ACTUAL : 35 ,  Probabilty Percentage : 98.0018%
UnMatched    PREDICTION : 19    ACTUAL : 35 ,  Probabilty Percentage : 92.8879%
Matched      PREDICTION : 35    ACTUAL : 35 ,  Probabilty Percentage : 99.4951%
Matched      PREDICTION : 35    ACTUAL : 35 ,  Probabilty Percentage : 99.6533%
UnMatched    PREDICTION : 20    ACTUAL : 35 ,  Probabilty Percentage : 93.8777%
UnMatched    PREDICTION : 20    ACTUAL : 35 ,  Probabilty Percentage : 99.7423%
UnMatched    PREDICTION : 19    ACTUAL : 35 ,  Probabilty Percentage : 98.8782%
Matched      PREDICTION : 26    ACTUAL : 26 ,  Probabilty Percentage : 99.9977%
Matched      PREDICTION : 26    ACTUAL : 26 ,  Probabilty Percentage : 100%
Matched      PREDICTION : 26    ACTUAL : 26 ,  Probabilty Percentage : 99.999%
Matched      PREDICTION : 26    ACTUAL : 26 ,  Probabilty Percentage : 100%
Matched      PREDICTION : 26    ACTUAL : 26 ,  Probabilty Percentage : 99.9771%
Matched      PREDICTION : 26    ACTUAL : 26 ,  Probabilty Percentage : 99.9994%
Matched      PREDICTION : 26    ACTUAL : 26 ,  Probabilty Percentage : 100%
Matched      PREDICTION : 26    ACTUAL : 26 ,  Probabilty Percentage : 100%
Matched      PREDICTION : 26    ACTUAL : 26 ,  Probabilty Percentage : 99.9985%
Matched      PREDICTION : 26    ACTUAL : 26 ,  Probabilty Percentage : 100%
Matched      PREDICTION : 25    ACTUAL : 25 ,  Probabilty Percentage : 100%
Matched      PREDICTION : 25    ACTUAL : 25 ,  Probabilty Percentage : 100%
Matched      PREDICTION : 25    ACTUAL : 25 ,  Probabilty Percentage : 99.9999%
Matched      PREDICTION : 25    ACTUAL : 25 ,  Probabilty Percentage : 100%
Matched      PREDICTION : 25    ACTUAL : 25 ,  Probabilty Percentage : 100%
Matched      PREDICTION : 25    ACTUAL : 25 ,  Probabilty Percentage : 100%
Matched      PREDICTION : 25    ACTUAL : 25 ,  Probabilty Percentage : 100%
Matched      PREDICTION : 25    ACTUAL : 25 ,  Probabilty Percentage : 100%
Matched      PREDICTION : 25    ACTUAL : 25 ,  Probabilty Percentage : 100%
Matched      PREDICTION : 25    ACTUAL : 25 ,  Probabilty Percentage : 100%
Matched      PREDICTION : 32    ACTUAL : 32 ,  Probabilty Percentage : 100%
Matched      PREDICTION : 32    ACTUAL : 32 ,  Probabilty Percentage : 99.9999%
Matched      PREDICTION : 32    ACTUAL : 32 ,  Probabilty Percentage : 100%
Matched      PREDICTION : 32    ACTUAL : 32 ,  Probabilty Percentage : 100%
Matched      PREDICTION : 32    ACTUAL : 32 ,  Probabilty Percentage : 100%
Matched      PREDICTION : 32    ACTUAL : 32 ,  Probabilty Percentage : 100%
Matched      PREDICTION : 32    ACTUAL : 32 ,  Probabilty Percentage : 100%
Matched      PREDICTION : 32    ACTUAL : 32 ,  Probabilty Percentage : 99.9997%
Matched      PREDICTION : 32    ACTUAL : 32 ,  Probabilty Percentage : 100%
Matched      PREDICTION : 32    ACTUAL : 32 ,  Probabilty Percentage : 100%
Matched      PREDICTION : 34    ACTUAL : 34 ,  Probabilty Percentage : 99.9999%
Matched      PREDICTION : 34    ACTUAL : 34 ,  Probabilty Percentage : 100%
Matched      PREDICTION : 34    ACTUAL : 34 ,  Probabilty Percentage : 100%
Matched      PREDICTION : 34    ACTUAL : 34 ,  Probabilty Percentage : 99.9988%
Matched      PREDICTION : 34    ACTUAL : 34 ,  Probabilty Percentage : 100%
Matched      PREDICTION : 34    ACTUAL : 34 ,  Probabilty Percentage : 99.9999%
Matched      PREDICTION : 34    ACTUAL : 34 ,  Probabilty Percentage : 99.9999%
Matched      PREDICTION : 34    ACTUAL : 34 ,  Probabilty Percentage : 100%
Matched      PREDICTION : 34    ACTUAL : 34 ,  Probabilty Percentage : 100%
Matched      PREDICTION : 34    ACTUAL : 34 ,  Probabilty Percentage : 100%
Matched      PREDICTION : 23    ACTUAL : 23 ,  Probabilty Percentage : 100%
Matched      PREDICTION : 23    ACTUAL : 23 ,  Probabilty Percentage : 100%
Matched      PREDICTION : 23    ACTUAL : 23 ,  Probabilty Percentage : 100%
Matched      PREDICTION : 23    ACTUAL : 23 ,  Probabilty Percentage : 100%
Matched      PREDICTION : 23    ACTUAL : 23 ,  Probabilty Percentage : 100%
Matched      PREDICTION : 23    ACTUAL : 23 ,  Probabilty Percentage : 100%
Matched      PREDICTION : 23    ACTUAL : 23 ,  Probabilty Percentage : 100%
Matched      PREDICTION : 23    ACTUAL : 23 ,  Probabilty Percentage : 100%
Matched      PREDICTION : 23    ACTUAL : 23 ,  Probabilty Percentage : 100%
Matched      PREDICTION : 23    ACTUAL : 23 ,  Probabilty Percentage : 100%
Matched      PREDICTION : 33    ACTUAL : 33 ,  Probabilty Percentage : 75.4177%
Matched      PREDICTION : 33    ACTUAL : 33 ,  Probabilty Percentage : 99.9965%
Matched      PREDICTION : 33    ACTUAL : 33 ,  Probabilty Percentage : 98.8649%
UnMatched    PREDICTION : 19    ACTUAL : 33 ,  Probabilty Percentage : 79.266%
Matched      PREDICTION : 33    ACTUAL : 33 ,  Probabilty Percentage : 99.7749%
UnMatched    PREDICTION : 19    ACTUAL : 33 ,  Probabilty Percentage : 84.7536%
UnMatched    PREDICTION : 19    ACTUAL : 33 ,  Probabilty Percentage : 96.1339%
UnMatched    PREDICTION : 19    ACTUAL : 33 ,  Probabilty Percentage : 73.0311%
Matched      PREDICTION : 33    ACTUAL : 33 ,  Probabilty Percentage : 99.9994%
UnMatched    PREDICTION : 19    ACTUAL : 33 ,  Probabilty Percentage : 98.4558%

ACCURACY =  81 %

